Symbol,LTP,% Change
As of 2022-04-28 15:00:00
JALPA,"1,142.60",9.99
RADHI,575.00,4.17
MEN,"1,030.00",3.29
NBF3,9.20,3.25
MLBS,"1,216.00",2.88
GIMES1,11.34,2.16
CMF1,9.10,2.13
PSF,9.00,2.04
CMF2,10.00,1.94
NFS,510.00,1.80
EICPO,394.90,1.70
SAEF,13.08,1.63
SBCF,8.50,1.19
NIBLPF,11.40,1.15
IGI,544.00,1.13
PRIN,671.00,1.05
CBL,220.00,1.01
LEC,329.00,0.92
NEF,11.10,0.91
BNHC,498.00,0.89
NGPL,590.00,0.85
GILB,"1,414.00",0.78
SGI,540.00,0.75
KBL,221.00,0.45
SIL,783.00,0.38
RHPL,335.00,0.30
NABBC,383.00,0.26
GBD80/81,970.00,0.21
NIBD84,850.00,0.21
RBCL,"15,930.00",0.18
SEF,10.98,0.18
LGIL,656.00,0.17
SLCF,8.60,0.12
SCB,439.00,0.11
LICN,"1,840.00",0.04
GBIME,300.10,0.03
NICA,782.00,0.03
BBC,"4,077.00",0.02
GBLBS,845.10,0.01

