,,,Contract No.   |,,,Stock Symbol,ACLBSLADBLADBLBADBLB86ADBLB87ADBLD83AHPCAILAKBSLAKBSLPAKJCLAKPLALBSLALICLALICLPAMFIAMFIPOAPIAVUBARUNBBCBFCBFCPOBFLPOBHBLBHBLPOBNHCBNLBNTBOKD2079BOKD86BOKLBOKLPOBPCLBSBLPOBSLBSMCBBLCBBLPOCBLCBLPOCCBLCCBLPOCEFLCEFLPOCFCLCFCLPOCFLCGHCHCLCHDCCHLCITCIZBD86CLBSLCLBSLPCMBCMBFLPCMF1CMF2CORBLCORBLPCZBILCZBILPDDBLDDBLPODHPLEBLEBLCPEBLPOEDBLEDBLPOEICEICPOENLFBBLPOFHLFMDBLFMDBLPFOWADFOWADPGBBD85GBBLGBBLPOGBD80/81GBILD86/87GBIMEGBIMEPGBLBSGBLBSPGDBLGDBLPOGFCLGFCLPOGGBSLGHLGICGILBGILBPOGIMES1GLBSLGLHGLICLGLICLPGMFBSGMFILGMFILPGRDBLGRDBLPGRUGUFLGUFLPOGVLGWFD83HAMROHAMROPHATHHATHPOHBLHBLD83HBLPOHBTHDHPCHDLHFLHGIHGIPOHIDCLHPPLHURJAICFCICFCD83ICFCPOIGIIGIPOILBSJALPAJBBD87JBBLJBBLPOJBLBJBLBPJBNLJBNLPOJFLJFLPOJLIJOSHIJSLBBJSLBBPJSMKBLKBLD86KBLPOKEFKKHCKLBSLKLBSLPKMCDBKMCDBPKNBLKNBLPOKPCLKRBLKRBLPOKSBBLKSBBLD87KSBBLPLBBLLBBLPOLBLLBLD86LBLD88LBLPOLECLEMFLFCLFCPOLGILLGILPOLICNLICNPOLLBSLLBSPOLUKMBJCMBLMBLD2085MBLD87MBLPOMDBMDBLPOMDBPOMEGAMEGAPOMENMEROMEROPOMFILMFILPOMFLD85MHNLMKJCMKLBMLBBLMLBBLPMLBLMLBLPOMLBSMLBSLMMF1MMFDBMMFDBPMNBBLMNBBLPMND84/85MPFLMPFLPOMSLBMSLBPMSMBSMSMBSPNABBCNABILNABILPNADEPNADEPPNAGRONBBNBBD2085NBBPONBBUNBF2NBF3NBLNBLD82NBLD85NBLD87NCCBNCCBPONCCD86NEFNESDONFDNFSNFSPONGPLNHDLNHPCNIBNIBD2082NIBD84NIBLPFNIBPONIBSF1NIBSF2NICANICAD 85/86NICAD8182NICAD8283NICAPNICBFNICD83/84NICD88NICGFNICLNICLBSLNICLPONICSFNIDCNIDCPONIFRANILNILPONKUNLBBLNLBBLPNLGNLGPONLICNLICLNLICLPNLICPNLONMBNMB50NMBD2085NMBD87/88NMBEB92/93NMBHF1NMBMFNMBMFPNMBPONMFBSNMFBSPNRICNRNNSLBNSLBPNSMNSMPONTCNTLNUBLNUBLPONVGNWCNYADIODBLODBLPOOHLPBD85PBLD84PBLD86PBLD87PCBLPCBLPPDBLPOPFLPFLPOPICPICLPICLPOPICPOPLIPLICPLICPOPMHPLPPCLPRFLPOPRINPRINPOPROFLPROFLPPRVUPRVUPOPSDBLPPSFRADHIRBBD83RBCLRBCLPORHPCRHPLRJMRLFLRLFLPORLIRMBFPORMDCRMDCPORMF1RRHPRSDCRSDCPRULBRURUSABSLSADBLSADBLPSAEFSAHASSAMAJSAND2085SANIMASAPDBLSAPDBLPSBBLJSBBLJPSBBLPOSBCFSBD87SBISBIBD86SBIPOSBLSBLD2082SBLD83SBLD84SBLPOSBPPSCBSCBPOSDBD87SDESISDLBSLSEFSEOSSFCSFCLSFCLPSFCPOSFFILSFFILPSFMFSGISHBLSHBLPOSHELSHINESHINEPSHIVMSHLSHPCSICSICLSICLPOSICPOSIFCSIFCPOSIGS2SILSILPOSINDUSINDUPSJCLSKBBLSKBBLPSLBBLSLBBLPSLBSSLBSLSLBSPSLCFSLISLICLSLICLPSMATASMATAPSMBSMBPOSMFBSSMFDBSMFDBPSODBLPSPARSSPCSPDLSRBLSRBLD83SRBLPOSRD80SRSSSHLSTCSWBBLSWBBLPSYFLSYFLPOTMDBLTMDBLPTPCTRHUFLUFLPOUICUICPOULIUMHLUMRHUNHPLUNLUPCLUPPERUSLBUSLBPVLBSVLBSPOWNLBWNLBPWOMIWOMIPOYHL  |,                ,Buyer   |,Seller   |,Total Rows,                    ,20,50,200,300,500, |,                
,,,,,,,,,,,,,,,,,,,
,S.N.,Contract No,Stock Symbol,Buyer Broker,Seller Broker,Quantity,Rate,Amount,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,1,2022042803010222,KSBBL,17,28,14,432.3,6052.2,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,2,2022042803010221,KSBBL,11,28,82,432.3,35448.6,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,3,2022042803010220,KSBBL,44,28,30,433.5,13005,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,4,2022042803010219,WNLB,39,19,10,1230.3,12303,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,5,2022042803010218,WNLB,56,19,10,1230.3,12303,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,6,2022042804008437,PIC,50,26,10,808.9,8089,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,7,2022042804008436,NHPC,5,45,70,261.1,18277,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,8,2022042804008435,AHPC,41,57,40,417.2,16688,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,9,2022042804008434,AHPC,55,28,10,416.9,4169,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,10,2022042801007964,NABIL,11,41,10,928,9280,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,11,2022042801007963,NICA,20,4,18,782,14076,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,12,2022042804008433,SSHL,42,42,10,293,2930,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,13,2022042801007962,NICA,20,45,100,782,78200,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,14,2022042801007961,NICA,20,32,20,782,15640,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,15,2022042801007960,NICA,20,45,120,780,93600,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,16,2022042801007959,NICA,20,57,100,780,78000,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,17,2022042801007958,NICA,20,16,142,780,110760,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,18,2022042804008432,BARUN,32,14,100,398,39800,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,19,2022042803010217,MFIL,14,28,35,488.2,17087,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,20,2022042804008431,DHPL,58,45,66,256,16896,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Page 1/1446 12345678910Next›Last»,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Total Amount Rs.,1496246808,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Total Quantity,4574520,,,,,,,,,,,,,,,,,
